Perovskite_composition_a_ions,Perovskite_composition_a_ions_coefficients,Perovskite_composition_b_ions,Perovskite_composition_b_ions_coefficients,Perovskite_composition_c_ions,Perovskite_composition_c_ions_coefficients,Perovskite_band_gap
Cs,1,Sn,1,I,3,1.27
Cs,1,Sn,1,Br,3,1.75
Cs,1,Sn,1,Br; I,1; 2,1.37
Cs,1,Sn,1,Br; I,2; 1,1.65
MA,1,Pb,1,I,3,1.6
MA,1,Pb,1,Br,3,2.2
Cs; FA; MA,0.05; 0.788; 0.162,Pb,1,Br; I,0.51; 2.49,1.59
Cs; FA; GU; MA,0.05; 0.788; 0.032; 0.129,Pb,1,Br; I,0.51; 2.49,1.605
Cs; FA; GU; MA,0.05; 0.788; 0.065; 0.097,Pb,1,Br; I,0.51; 2.49,1.615
Cs; FA; GU; MA,0.05; 0.788; 0.097; 0.065,Pb,1,Br; I,0.51; 2.49,1.63
MA,1,Pb,1,I,3,1.58
MA,1,Pb,1,Br; I,0.09; 2.91,1.61
MA,1,Pb,1,Br; I,0.3; 2.7,1.64
MA,1,Pb,1,Br; I,0.6; 2.4,1.7
MA,1,Pb,1,Br; I,1.2; 1.8,1.8
MA,1,Pb,1,Br; I,1.8; 1.2,1.92
Cs,1,Sn,1,I,3,1.3
Cs,1,Sn,1,Br; I,0.5; 2.5,1.375
Cs,1,Sn,1,Br; I,0.6; 2.4,1.4
Cs,1,Sn,1,Br; I,2; 1,1.63
Cs,1,Sn,1,Br; I,2.5; 0.5,2.36
MA,1,Pb,1,I,3,1.59
Ag; Cs,2; 1,Sb,2,I,3,1.96
FA; MA | (PEA),0.6; 0.4 | 2,Pb; Sn | Pb; Sn,0.4; 0.6 | 0.4; 0.6,I | I,3 | 4,1.26
MA | CA,1 | 2,Pb | Pb,1 | 1,I | I,3 | 4,1.59
FA,1,Pb,1,I,3,1.48
FA,1,Pb,1,I,3,1.5
Cs; FA,0.05; 0.95,Pb,1,Br; I,0.15; 2.85,1.48
Cs; FA,0.1; 0.9,Pb,1,Br; I,0.3; 2.7,1.48
Cs; FA,0.15; 0.85,Pb,1,Br; I,0.45; 2.55,1.48
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.6; 2.4,1.48
Cs; MA,0.01; 0.99,Pb,1,Br; I,0.03; 2.97,1.6
Cs; MA,0.02; 0.98,Pb,1,Br; I,0.06; 2.94,1.6
Cs; MA,0.03; 0.97,Pb,1,Br; I,0.09; 2.91,1.6
MA,1,Pb,1,I,3,1.5
MA,1,Pb,1,I,3,1.54
Cs,3,Sb,2,I,9,2.43
Rb,3,Sb,2,I,9,2.03
K,3,Sb,2,I,9,2.02
MA,1,Pb,1,Br; I,0.5; 2.5,1.7
MA,1,Pb,1,Br; I,0.8; 2.2,1.75
(PMA),2,Cu,1,Br,4,1.81
Cs,1,Pb,1,I,3,1.73
MA,1,Pb,1,I,3,1.55
MA,1,Pb,1,Br; I,0.6; 2.4,1.65
MA,1,Pb,1,Br; I,1.2; 1.8,1.74
MA,1,Pb,1,I,3,1.61
MA,1,Pb,1,Br; I,1.2; 1.8,1.83
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.6; 2.4,1.68
Cs,1,Pb,1,Br; I,1; 2,1.92
Cs,1,Pb,1,Br,3,2.3
Cs | Cs,1 | 1,Pb | Pb,1 | 1,Br | Br,3 | 3,2.3
Cs | Cs,1 | 1,Pb | Pb,1 | 1,Br | Br; I,3 | 2; 1,2.3
Cs | Cs,1 | 1,Pb | Pb,1 | 1,Br | Br; I,3 | 1; 2,2.3
Cs | Cs,1 | 1,Pb | Pb,1 | 1,Br | I,3 | 3,2.3
Cs,1,Pb,1,I,3,1.72
Cs,1,Pb,1,I,3,1.76
FA,1,Pb,1,I,3,1.52
Cs,1,Bi,3,I,10,1.78
MA,1,Pb,1,I,3,1.56
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55,1.56
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55,1.58
MA,1,Pb,1,Br; I,0.3; 2.9,1.589
FA; MA,0.1; 0.9,Pb,1,Br; I,0.3; 2.9,1.592
FA; MA,0.2; 0.8,Pb,1,Br; I,0.3; 2.9,1.59
FA; MA,0.3; 0.7,Pb,1,Br; I,0.3; 2.9,1.58
FA; MA,0.1; 0.9,Pb,1,Br; I,0.3; 2.9,1.58
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55,1.59
Cs,1,Pb,1,Br; I,2; 1,2.07
Cs,1,Pb,1,Br,3,2.24
Cs; Rb,0.91; 0.09,Pb,1,Br,3,2.31
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55,1.63
Cs,1,Pb,1,Br; I,1; 2,1.91
Cs; FA; MA,0.05; 0.78; 0.13,Pb,1,Br; I,0.45; 2.55,1.6
Cs,1,Pb,1,Br,3,2.35
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.6; 2.4,1.7
MA,1,Pb,1,I,3,1.57
Cs,2,Sn,1,I,6,1.48
Cs,1,Pb,1,Br; I,2; 1,2.05
MA,1,Pb,1,I,3,1.62
Cs; FA; MA,0.05; 0.75; 0.2,Pb,1,I,3,1.52
Cs,1,Pb,1,I,3,1.68
FA; MA,0.3; 0.7,Pb,1,I,3,1.62
FA; MA,0.83; 0.17,Pb,1,Br; I,0.5; 2.5,1.61
FA; MA,0.83; 0.17,Pb,1,Br; I,0.5; 2.5,1.6
FA; MA,0.83; 0.17,Pb,1,Br; I,0.5; 2.5,1.59
Cs,1,Pb,1,I,3,1.74
Cs; FA,0.25; 0.75,Pb,1,I,3,1.58
Cs; FA; MA,0.025; 0.475; 0.5,Pb; Sn,0.5; 0.5,I,3,1.27
FA; MA,0.5; 0.5,Pb; Sn,0.5; 0.5,I,3,1.25
Cs; FA; MA,0.05; 0.45; 0.5,Pb; Sn,0.5; 0.5,I,3,1.26
(NH4),3,Sb,2,I,9,2.27
(NH4),3,Sb,2,Br; I,3; 6,2.49
(NH4),3,Sb,2,Br; I,6; 3,2.66
(NH4),3,Sb,2,Br,9,2.78
MA,1,Sn,1,I,3,1.23
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.8; 2.2,1.72
Cs; FA,0.17; 0.83,Pb,1,Br; I,1.2; 1.8,1.79
Cs; FA,0.17; 0.83,Pb,1,Br; I,1.5; 1.5,1.86
Cs; FA,0.17; 0.83,Pb,1,Br; I,1.8; 1.2,1.93
Ag,1,Bi,2,I,7,1.89
Cs; FA; MA | (EPA),0.1; 0.76; 0.14 | 2,Pb | Pb,1 | 1,Br; I | I,0.51; 2.49 | 4,1.61
Cs; FA; MA,0.1; 0.76; 0.14,Pb,1,Br; I,0.51; 2.49,1.61
MA,1,Pb,1,Br; I,1; 2,1.75
MA,1,Pb,1,Br; I,2; 1,2.02
MA,1,Pb,1,Br,3,2.3
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55,1.62
Cs,1,Sn,1,Br,3,1.8
Rb,1,Pb,1,I,3,1.98
MA,1,Pb; Sn,0.75; 0.25,I,3,1.35
Cs; FA; MA,0.05; 0.81; 0.14,Pb,0.95,Br; I,0.43; 2.42,1.64
MA,3,Sb,2,I,9,2.25
MA,3,Sb,2,I,9,2.32
MA,3,Sb,2,I,9,2.35
MA,3,Sb,2,I,9,2.05
MA,3,Sb,2,I,9,2.04
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.9; 2.1,1.75
FA; MA,0.6; 0.4,Pb; Sn,0.4; 0.6,I,3,1.25
FA; MA,0.15; 0.85,Pb,1,Br; I,0.45; 2.55,1.53
MA,1,Pb,1,I,3,1.53
MA,1,Pb,1,I,3,1.51
GU,1,Pb,1,I,3,2.52
GU,2,Pb,1,I,4,2.52
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.5; 2.5,1.57
Cs; FA; MA,0.05; 0.79; 0.16,Pb; Sn,0.75; 0.25,Br; I,0.5; 2.5,1.34
Cs; FA; MA,0.05; 0.79; 0.16,Pb; Sn,0.5; 0.5,Br; I,0.5; 2.5,1.31
Cs; FA; MA,0.05; 0.79; 0.16,Pb; Sn,0.25; 0.75,Br; I,0.5; 2.5,1.3
Cs; FA; MA,0.05; 0.79; 0.16,Sn,1,Br; I,0.5; 2.5,1.45
Cs; FA; MA,0.1; 0.75; 0.15,Pb,1,Br; I,0.5; 2.5,1.59
Cs; FA; MA,0.1; 0.75; 0.15,Pb; Sn,0.75; 0.25,Br; I,0.5; 2.5,1.36
Cs; FA; MA,0.1; 0.75; 0.15,Pb; Sn,0.5; 0.5,Br; I,0.5; 2.5,1.31
Cs; FA; MA,0.1; 0.75; 0.15,Pb; Sn,0.25; 0.75,Br; I,0.5; 2.5,1.29
Cs; FA; MA,0.1; 0.75; 0.15,Sn,1,Br; I,0.5; 2.5,1.44
Cs; FA; MA,0.2; 0.66; 0.14,Pb,1,Br; I,0.5; 2.5,1.6
Cs; FA; MA,0.2; 0.66; 0.14,Pb; Sn,0.75; 0.25,Br; I,0.5; 2.5,1.38
Cs; FA; MA,0.2; 0.66; 0.14,Pb; Sn,0.5; 0.5,Br; I,0.5; 2.5,1.31
Cs; FA; MA,0.2; 0.66; 0.14,Pb; Sn,0.25; 0.75,Br; I,0.5; 2.5,1.28
Cs; FA; MA,0.2; 0.66; 0.14,Sn,1,Br; I,0.5; 2.5,1.42
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.6
FA; MA,0.83; 0.17,Pb,1,Br; I,0.51; 2.49,1.6
MA,1,Pb,1,Br,3,2.36
MA,1,Pb,1,I,3,1.52
Cs; MA,0.05; 0.95,Pb,1,I,3,1.51
Cs; MA,0.10; 0.90,Pb,1,I,3,1.54
Cs; MA,0.20; 0.80,Pb,1,I,3,1.57
Cs; MA,0.30; 0.70,Pb,1,I,3,1.58
Cs; MA,0.40; 0.60,Pb,1,I,3,1.62
Cs; MA,0.60; 0.40,Pb,1,I,3,1.68
Cs; MA,0.80; 0.20,Pb,1,I,3,1.72
Cs,1,Pb,1,I,3,2.05
HA; MA,0.1; 0.9,Sn,1,I,3,1.3
HA; MA,0.2; 0.8,Sn,1,I,3,1.3
HA; MA,0.3; 0.7,Sn,1,I,3,1.3
HA; MA,0.4; 0.6,Sn,1,I,3,1.3
MA,1,Pb,1,I,3,2.9
MA,3,Pb,1,Br; I,0.32; 2.68,1.64
MA,1,Pb,1,Br; I,0.56; 2.44,1.68
MA,1,Pb,1,I,3,1.69
Cs,1,Pb,1,Br; I,2; 1,2.04
HDA,1,Bi,1,I,5,2.0
FA; MA,0.9; 0.1,Pb,1,Br; I,0.1; 2.9,1.52
Cs; FA,0.17; 0.83,Pb,1,Br; I,1.2; 2.8,1.75
MA,1,Pb,1,Br; I,0.3; 2.7,1.63
MA,1,Pb,1,Br; I,1.5; 1.5,1.83
MA,1,Pb,1,Br; I,0.1; 2.9,1.6
MA,1,Pb,1,Br; I,0.2; 2.8,1.64
MA,1,Pb,1,Br; I,0.25; 2.75,1.65
MA,1,Pb,1,Br; I,0.7; 2.3,1.68
MA,1,Pb,1,Br; I,0.6; 2.4,1.72
Cs,1,Pb,1,Br; I,1; 2,1.9
Cs,1,Pb,1,Br; I,1; 2,1.89
Cs,1,Pb,1,Br; I,1; 2,1.88
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.53
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.52
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.5
Cs,1,Pb,1,Br; I,1; 2,1.85
Cs,1,Pb,1,Br; I,1; 2,1.93
Cs; FA; MA,0.05; 0.8; 0.15,Pb,1,Br; I,0.15; 2.85,1.617
Cs; FA; MA,0.05; 0.8; 0.15,Pb,1,Br; I,0.15; 2.85,1.627
Cs,1,Pb,1,Br,3,1.73
MA,1,Pb,1,I,3,1.574
MA,1,Pb,1,I,3,1.579
MA,1,Pb,1,I,3,1.584
MA,1,Pb,1,I,3,1.587
(PEA); MA,2; 2,Pb,3,I,10,2.1
Cs; MA,0.15; 0.85,Pb,1,I,3,1.59
Cs; MA,0.15; 0.85,Pb,1,Br; I,0.45; 2.55,1.66
Cs; MA,0.15; 0.85,Pb,1,Br; I,0.45; 2.55,1.71
Cs; MA,0.15; 0.85,Pb,1,Br; I,0.45; 2.55,1.78
MA,1,Pb,1,Br; I,0.03; 2.97,1.6
MA,1,Pb,1,Br; I,0.075; 2.95,1.6
MA,1,Pb,1,Br; I,0.15; 2.85,1.6
MA,1,Pb,1,Br; I,0.225; 2.775,1.6
MA,1,Pb,1,Br; I,0.3; 2.7,1.6
MA,3,Bi,2,I,9,1.67
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.58
Cs; FA,0.13; 0.87,Pb,1,Br; I,1; 2,1.72
Cs,1,Pb,1,I,3,1.71
MA,1,Pb,1,Br; I,0.75; 2.25,1.7
FA; MA,0.75; 0.25,Pb,1,Br; I,0.75; 2.25,1.61
Cs,1,Pb,1,Br; I,2; 1,2.01
Cs; FA; MA,0.05; 0.83; 0.12,Pb,1,Br; I,0.39; 2.61,1.6
Cs,1,Pb,1,Br; I,0.15; 2.85,1.7
MA,1,Pb,1,Br; I,0.075; 2.925,1.62
MA,1,Pb,1,Br; I,0.15; 2.85,1.63
MA,1,Pb,1,Br; I,0.225; 2.775,1.64
MA,1,Pb,1,Br,3,2.29
FA,1,Pb,1,I,3,1.47
FA; MA,0.4; 0.6,Pb,1,Br; I,0.2; 2.8,1.5
MA; PA,2; 4,Pb,5,I,16,1.67
Cs,1,Pb,1,Br,3,2.31
Cs,0.005,Pb,0.995,Br,3,2.29
Cs,1,Ni; Pb,0.005; 0.995,Br,3,2.28
Cs,1,Cu; Pb,0.005; 0.995,Br,3,2.27
Cs,1,Pb; Zn,0.995; 0.005,Br,3,2.25
EDA; FA,0.01; 0.99,Sn,1,I,3,1.37
EDA; FA,0.01; 0.99,Sn,1,I,3,1.38
FA; MA | PEA,0.85; 0.15 | 2,Pb | Pb,1 | 1,Br; I | I,0.45; 2.55 | 4,1.58
MA,1,Pb,1,I,3,1.596
MA,1,Pb,1,Br; I,0.9; 2.1,1.75
MA,3,Bi,2,I,9,2.26
FA,1,Pb,1,Br,3,2.26
FA; MA,0.1; 0.9,Pb,1,I,3,1.59
FA; MA,0.2; 0.8,Pb,1,I,3,1.57
FA; MA,0.3; 0.7,Pb,1,I,3,1.55
FA; MA,0.4; 0.6,Pb,1,I,3,1.54
FA; MA,0.5; 0.5,Pb,1,I,3,1.531
FA; MA,0.6; 0.4,Pb,1,I,3,1.512
FA; MA,0.7; 0.3,Pb,1,I,3,1.503
Cs; FA; MA,0.05; 0.8; 0.15,Pb,1,Br; I,0.45; 2.55,1.63
FA; MA,0.6; 0.4,Pb; Sn,1; 0.6,I,0.4,1.25
FA; MA,0.9; 0.1,Pb,1,Br; I,0.1; 2.9,1.55
Cs; FA; MA,0.1; 0.81; 0.09,Pb,1,Br; I,0.1; 2.9,1.55
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.5; 2.5,1.555
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.5; 2.5,1.558
Cs,1,Pb,1,Br,3,2.32
MA,1,Pb,1,I,3,1.63
Cs,1,Pb,1,Br; I,2; 1,1.89
Cs,1,Pb,1,Br; I,1; 2,1.94
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.6
MA,1,Pb,1,I,3,1.614
MA,1,Pb,1,I,3,1.606
Cs; FA; MA,0.07; 0.785; 0.115,Pb,1,Br; I,0.45; 2.55,1.58
Cs; FA; MA,0.07; 0.785; 0.115,Pb,1,Br; I,0.45; 2.55,1.57
BA; MA,2; 3,Pb,4,I,13,1.64
BA; MA,2; 3,Pb,4,I,13,1.633
BA; MA,2; 3,Pb,4,I,13,1.637
FA; MA,0.83; 0.17,Pb,1,Br; I,0.51; 2.49,1.61
FA; MA,0.83; 0.17,Pb,1,Br; I,0.51; 2.49,1.62
Cs; FA,02; 0.8,Pb,1,Br; I,0.42; 2.58,1.59
Cs; FA,0.17; 0.83,Pb,1,Br; I,1.5; 1.5,1.74
BA; MA,2; 3,Pb,4,I,13,2.4
BA; MA,2; 3,Pb,4,I,13,1.89
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.63
(n-C3H7NH3),1,Pb,1,Cl,3,1.72
FA; MA,0.95; 0.05,Pb,1,Br; I,0.15; 2.85,1.55
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.7
(PEA); FA; MA,0.1; 0.15; 0.75,Sn,1,Br; I,0.24; 2.76,1.29
(PEA); FA; MA,0.1; 0.15; 0.75,Sn,1,Br; I,0.24; 2.76,1.32
(PEA); FA; MA,0.1; 0.15; 0.75,Sn,1,Br; I,0.24; 2.76,1.38
(PEA); FA; MA,0.1; 0.15; 0.75,Sn,1,Br; I,0.24; 2.76,1.45
(PEA); FA; MA,0.1; 0.15; 0.75,Sn,1,Br; I,0.24; 2.76,1.5
FA; MA,0.9; 0.1,Pb,1,Br; I,0.1; 2.9,1.56
FA,1,Pb,1,I,3,1.523
FA,1,Pb,1,I,3,1.524
FA,1,Pb,1,I,3,1.526
FA,1,Pb,1,I,3,1.529
Cs; FA,0.2; 0.8,Pb,1,Br; I,1.2; 1.8,1.77
FA; MA,0.7; 0.3,Pb; Sn,0.5; 0.5,I,3,1.22
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.67
FA; MA,0.3; 0.7,Pb,1,I,3,1.57
Cs,1,Pb,1,Br,3,2.36
Ag; Cs,1; 2,Bi,1,Br,6,2.05
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.17; 0.83,1.6
FA; MA,0.75; 0.25,Sn,1,I,3,1.36
MA,3,Bi,2,I,9,2.2
FA; MA,0.1; 0.9,Pb,1,I,3,1.54
FA; MA,0.1; 0.9,Pb,1,I,3,1.55
FA; MA,0.1; 0.9,Pb,1,I,3,1.53
Cs; FA,0.15; 0.85,Pb,1,Br; I,0.12; 2.88,1.6
MA,1,Pb,1,Br; I,1; 2,1.81
MA,1,Pb,1,Br; I,2; 1,2.09
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.6; 2.4,1.61
Cs; FA,0.17; 0.83,Pb,1,Br; I,1.2; 1.8,1.72
FA; MA,0.8; 0.2,Pb,1,Br; I,0.6; 2.4,1.59
MA,3,Bi,2,I,9,2.17
Cs; FA; MA,0.05; 0.76; 0.19,Pb,1,Br; I,0.6; 2.4,1.59
(GABA); MA,0.1; 0.9,Pb,1,I,3,1.54
FA; MA,0.7; 0.3,Pb; Sn,0.7; 0.3,I,3,1.26
FA; MA,0.1; 0.9,Pb,1,Br; I,2.7; 0.3,2.14
FA; MA,0.3; 0.7,Pb,1,Br; I,2.1; 0.9,2.03
FA; MA,0.5; 0.5,Pb,1,Br; I,1.5; 1.5,1.82
FA; MA,0.7; 0.3,Pb,1,Br; I,0.9; 2.1,1.71
FA; MA,0.9; 0.1,Pb,1,Br; I,0.3; 2.7,1.8
FA,1,Pb,1,I,3,1.58
MA,1,Pb,1,Br,3,2.13
FA; MA,0.85; 0.15,Pb,1,Br; I,0.21; 2.79,1.56
MA,1,Pb,1,I,3,1.7
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.73
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.59
Cs; FA; MA,0.2; 0.2; 0.6,Pb,1,I,3,1.64
FA; MA,0.2; 0.8,Pb,1,I,3,1.6
Cs; FA; MA,0.1; 0.2; 0.7,Pb,1,I,3,1.62
Cs; FA; MA,0.3; 0.2; 0.5,Pb,1,I,3,1.64
Cs; FA; MA,0.4; 0.2; 0.4,Pb,1,I,3,1.64
Cs; FA; MA,0.2; 0.2; 0.6,Pb,1,I,3,1.62
Cs; FA; MA,0.2; 0.2; 0.6,Pb,1,I,3,1.63
FA,1,Pb,1,I,3,1.51
FA,1,Pb; Sn,0.75; 0.25,I,3,1.5
FA,1,Pb; Sn,0.5; 0.5,I,3,1.47
FA,1,Pb; Sn,0.25; 0.75,I,3,1.57
MA,1,Co; Pb,0.008; 0.992,I,3,1.56
MA,1,Co; Pb,0.016; 0.984,I,3,1.56
MA,1,Co; Pb,0.031; 0.969,I,3,1.56
MA,1,Co; Pb,0.063; 0.937,I,3,1.56
MA,1,Ni,1,Cl; I,2; 1,1.41
MA,1,Pb; Sn,0.75; 0.25,I,3,1.24
FA; MA,1; 1,Pb,1,I,3,1.5
Cs; FA,0.3; 0.7,Pb,1,Br,3,2.287
Cs; FA,0.1; 0.9,Pb,1,Br,3,2.277
FA,1,Pb,1,Br,3,2.273
FA; MA,0.2; 0.8,Pb,1,I,3,1.58
FA; MA,0.2; 0.8,Pb,1,I,3,1.56
FA,1,Pb,1,I,3,1.45
FA; MA,0.96; 0.04,Pb,1,Br; I,0.12; 2.88,1.48
FA; MA,0.975; 0.025,Pb,1,I,3,1.48
MA,1,Sn,1,I,3,1.26
FA; MA,0.25; 0.75,Sn,1,I,3,1.28
FA; MA,0.25; 0.75,Sn,1,I,3,1.3
FA; MA,0.25; 0.75,Sn,1,I,3,1.33
FA,1,Sn,1,I,3,1.36
Cs; FA; MA,0.08; 0.76; 15,Pb,1,Br; I,0.51; 2.49,1.62
FA; MA,0.5; 0.5,Pb,1,I,3,1.6
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.75; 2.25,1.67
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55,1.65
Cs; FA,0.17; 0.83,Pb,1,Br; I,1.2; 1.8,1.74
Cs; FA; MA,0.12; 0.83; 0.05,Pb,1,Br; I,1.2; 1.8,1.74
BA; MA,2; 2,Pb,3,I,10,1.655
BA; MA,2; 3,Pb,4,I,13,1.66
MA,3,Bi,2,I,9,1.9
MA,1,Sn,1,I,3,1.35
MA,1,Sn,1,I,3,1.27
