Perovskite_composition_a_ions,Perovskite_composition_a_ions_coefficients,Perovskite_composition_b_ions,Perovskite_composition_b_ions_coefficients,Perovskite_composition_c_ions,Perovskite_composition_c_ions_coefficients,Perovskite_band_gap
Cs; FA,0.05; 0.95,Pb,1,I,3,1.48
MA,1,Pb,1,I,3,1.4
FA; MA,0.83; 0.17,Pb,1,Br; I,0.39; 2.61,1.6
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.607
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.613
MA,1,Sn,1,Br; I,2; 1,1.81
MA,1,Sn,1,Br; Cl; I,1.8; 0.2; 1,1.87
MA,1,Sn,1,Br; Cl; I,1.5; 0.5; 1,1.97
MA,1,Sn,1,Br; I,1; 2,1.49
MA,1,Sn,1,Br; I,0.6; 2.4,1.36
MA,1,Sn,1,I,3,1.25
MA,1,Pb,1,Br; I,0.12; 2.88,1.6
MA,1,Pb,1,Br; I,0.33; 2.67,1.62
Cs; FA,0.1; 0.9,Pb,1,Br; I,0.3; 2.7,1.62
(HEA); Cs; FA,2; 0.9; 8.1,Pb,10,Br; I,3.3; 29.7,1.63
(HEA); Cs; FA,2; 1.9; 17.1,Pb,20,Br; I,6.3; 56.7,1.64
(HEA); Cs; FA,2; 2.9; 26.1,Pb,30,Br; I,9.3; 83.7,1.66
(HEA); Cs; FA,2; 3.9; 35.1,Pb,40,Br; I,12.3; 110.7,1.68
(HEA); Cs; FA,2; 1.9; 17.1,Pb,20,Br; I,0; 63,1.56
(HEA); Cs; FA,2; 1.9; 17.1,Pb,20,Br; I,3.15; 59.85,1.59
(HEA); Cs; FA,2; 1.9; 17.1,Pb,20,Br; I,9.45; 53.55,1.66
(HEA); Cs; FA,2; 1.9; 17.1,Pb,20,Br; I,12.6; 57.54,1.69
MA,1,Pb,1,I,3,1.505
FA; MA,0.02; 0.98,Pb,1,I,3,1.51
FA; MA,0.05; 0.95,Pb,1,I,3,1.52
FA; MA,0.1; 0.9,Pb,1,I,3,1.528
FA; MA,0.15; 0.85,Pb,1,I,3,1.35
BA; MA,2; 2,Sn,3,I,10,1.64
BA; MA,2; 3,Sn,4,I,13,1.5
Cs,1,Pb,1,I,3,1.69
Cs,1,Ba; Pb,0.2; 0.8,Br; I,1; 2,1.865
Cs,1,Ba; Pb,0.1; 0.9,Br; I,1; 2,1.893
Cs,1,Ba; Pb,0.2; 0.8,Br; I,1; 2,1.866
Cs,1,Ba; Pb,0.3; 0.7,Br; I,1; 2,1.839
Cs,1,Ba; Pb,0.4; 0.6,Br; I,1; 2,1.812
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.61
Cs; FA; MA | PA,0.05; 0.79; 0.16 | 2,Pb | Pb,1 | 1,Br; I | I,0.51; 2.49 | 4,1.59
Cs; FA; MA,0.05; 0.5; 0.45,Pb; Sn,0.5; 0.5,I,3,1.22
Cs; FA,0.4; 0.6,Pb,1,Br; I,1.05; 1.95,1.8
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.3; 2.7,1.57
Cs; FA; MA,0.1; 0.75; 0.15,Pb,1,Br; I,1; 2,1.73
FA; MA,0.93; 0.03,Pb,1,Br; I,0.09; 2.91,1.55
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,1.2; 2.6,1.71
HA,1,Pb,1,I,4,2.05
(BZA),2,Pb,1,I,4,2.18
FA; MA,0.5; 0.5,Pb,1,I,3,1.55
FA; MA,1; 1,Pb,1,I,3,1.55
BA; FA; MA,2; 0.6; 2.4,Pb,4,I,13,1.58
BA; Cs; MA,2; 1.5; 2.85,Pb,4,I,13,1.63
BA; Cs; FA; MA,2; 0.15; 0.57; 2.28,Pb,4,I,13,1.59
Ag,2,Bi,3,I,11,1.92
FA; MA,0.4; 0.6,Pb,1,Br; I,0.2; 2.8,1.56
Cs; FA; MA,0.05; 0.38; 0.57,Pb,1,Br; I,0.2; 2.8,1.57
Cs; FA; MA,0.1; 0.36; 0.54,Pb,1,Br; I,0.2; 2.8,1.59
Cs; FA; MA,0.2; 0.32; 0.48,Pb,1,Br; I,0.2; 2.8,1.607
FA; MA,0.84; 0.16,Pb,1,Br; I,0.5; 1.5,1.83
FA; MA,0.84; 0.16,Pb,1,Br; I,0.5; 1.5,1.88
FA; MA,0.84; 0.16,Pb,1,Br; I,0.5; 1.5,1.84
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.45; 2.55,1.63
MA,1,Sn,1,Cl,3,2.2
MA,3,Sb,2,I,9,2.2
MA,3,Sb,2,I,9,1.95
Cs,3,Sb,2,I,9,2.3
Cs,3,Sb,2,I,9,2.0
MA,1,Pb,1,Br; Cl,0.6; 2.4,2.83
MA,1,Pb,1,Cl,3,3.04
MA,1,Pb,1,Br; I,2; 1,1.85
MA,1,Pb,1,Br,3,2.0
MA,1,Pb,1,Br; I,1.16; 1.74,1.9
MA,1,Pb,1,Br; I,1; 2,1.6
Cs; FA,0.125; 0.875,Pb,1,Br; I,0.375; 2.625,1.6
(DAP),1,Pb,1,I,4,1.31
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,I,3,1.55
FA; MA,0.83; 0.17,Pb,1,I,3,1.54
FA,1,Pb,1,I,3,1.4
MA,1,Pb,1,Br,3,2.31
FA; MA,0.1; 0.9,Pb,1,I,3,1.6
FA; MA | TA,0.1; 0.9 | 1,Pb | Pb,1 | 1,I | I,3 | 3,1.6
Cs; FA; MA,0.04; 0.82; 0.14,Pb,1,Br; I,0.42; 2.58,1.58
FA,1,Pb,1,I,3,1.49
MA,1,Pb,1,I,3,1.31
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.62
FA; MA,0.3; 0.7,Pb,1,I,3,1.58
Cs,1,Pb,1,Br; I,2; 1,2.08
BA; Cs,2; 1,Pb,2,I,7,2.2
FA,1,Sn,1,I,3,1.41
MA,1,Pb,1,Br; I,0.15; 2.85,1.53
MA,1,Bi,1,I,2,1.52
(BdA),1,Pb,1,I,4,2.37
(HdA),1,Pb,1,I,4,2.44
(OdA),1,Pb,1,I,4,2.55
Cs,1,Bi,3,I,10,1.76
MA,1,Bi,3,I,10,1.78
FA,1,Bi,3,I,10,1.81
Cs; FA; MA,0.05; 0.76; 0.19,Pb,1,Br; I,0.57; 2.32,1.69
FA; MA,0.4; 0.6,Pb,1,I,3,1.53
MA,1,Pb,1,Br,3,2.34
FA; MA,0.5; 0.5,Pb,1,I,3,1.54
FA,1,Pb,1,I,3,1.46
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.59
MA,1,Pb; Sn,0.5; 0.5,Br; I,0.6; 2.4,1.35
Cs; FA; GA,0.32; 0.58; 0.1,Pb,1,Br; I,0.81; 2.19,1.75
(PEA); MA,0.05; 0.95,Pb,1,Br; I,1.2; 1.8,1.82
Cs,1,Pb,1,Br,3,2.33
Cs,1,Pb,1,Br; I,0.09; 2.91,1.77
Cs,1,Pb,1,Br; I,0.15; 2.85,1.79
Cs,1,Pb,1,Br; I,0.21; 2.79,1.81
FA; MA,0.9; 0.1,Pb,1,I,3,1.53
FA; MA,0.6; 0.4,Pb,1,I,3,1.55
MA,1,Pb,1,I,3,1.48
MA,1,Pb,1,Br; I,0.45; 2.55,1.65
MA,1,Pb,1,I,3,1.65
MA,1,Pb,1,Br; I,0.15; 2.85,1.65
MA,1,Pb,1,Br; I,0.30; 2.70,1.65
MA,1,Pb,1,Br; I,0.9; 2.1,1.65
MA,1,Pb,1,I,3,1.576
MA,1,Pb,1,I,3,1.578
MA,1,Pb,1,I,3,1.582
MA,1,Pb,1,I,3,1.586
MA,1,Pb,1,I,3,1.585
FA,1,Pb,1,I,3,1.59
BA; MA,2; 3,Pb,4,I,13,1.6
BA; MA,2; 3,Pb,4,I,13,1.65
BA; MA,2; 2,Pb,3,I,10,1.89
BA; MA,2; 1,Pb,2,I,7,2.08
BA,2,Pb,1,I,4,2.32
Cs,1,Pb; Sn,0.1; 0.9,I,3,1.22
Cs,1,Pb; Sn,0.3; 0.7,I,3,1.29
Cs,2,Ti,1,Br,6,1.8
Cs; MA,0.1; 0.9,Pb,1,I,3,1.602
FA; MA,0.125; 0.875,Pb,1,I,3,1.55
FA; MA,0.125; 0.875,Pb,1,Br; I,1; 2,1.71
FA; MA,0.2; 0.8,Pb,1,I,3,1.5
BA; MA,2; 3,Pb,4,I,13,1.94
FA,1,Sn,1,I,3,1.4
FA,1,Sn,1,Br; I,0.24; 2.76,1.47
FA,1,Sn,1,Br; I,0.5; 2.5,1.53
FA,1,Sn,1,Br; I,0.75; 2.25,1.63
FA,1,Sn,1,Br; I,1; 2,1.7
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.55
MA,1,Pb,1,I,3,1.625
FA; MA,0.83; 0.17,Pb,1,Br; I,0.51; 2.49,1.57
Cs; FA; MA,0.03; 0.945; 0.025,Pb,1,Br; I,0.075; 2.925,1.56
Cs; FA; MA,0.08; 0.55; 0.37,Pb,1,I,3,1.53
Cs,2,Bi,3,I,9,2.07
Cs,1,Bi,1,I,4,1.78
Cs,1,Bi,2,I,7,1.77
Cs,1,Bi,3,I,10,1.77
Cs,1,Bi,9,I,28,1.79
MA,1,Pb,1,Br; I,1; 2,1.79
MA,1,Pb,1,Br; I,1; 2,1.8
FA; MA | (C6H13NH3),0.92; 0.08 | 2,Pb | Pb,1 | 1,Br; I | I,0.24; 2.76 | 4,1.56
FA; MA,0.92; 0.08,Pb,1,Br; I,0.24; 2.76,1.56
FA; MA | (C4H9NH3),0.92; 0.08 | 2,Pb | Pb,1 | 1,Br; I | I,0.24; 2.76 | 4,1.56
FA; MA | (C8H17NH3),0.92; 0.08 | 2,Pb | Pb,1 | 1,Br; I | I,0.24; 2.76 | 4,1.56
FA; MA,0.9; 0.1,Pb,1,Br; I,0.1; 2.9,1.57
Cs,1,Pb,1,I,3,1.77
FA,1,Sn,1,I,3,1.34
FA | (PEA),1 | 2,Sn | Sn,1 | 1,I | I,3 | 4,1.4
Cs,1,Pb,1,Br; I,1; 1,1.75
Cs,1,Pb,1,Br; I,1; 1,1.76
Cs,1,Pb,1,Br; I,1; 1,1.77
Cs,1,Ba; Pb,0.1; 0.9,I,3,1.72
FA | (PEA),1 | 2,Pb | Pb,1 | 1,I | I,3 | 4,1.48
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.50; 2.5,1.63
FA; MA,0.85; 0.15,Pb,1,I,3,1.53
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.5; 2.5,1.5
MA,1,Pb,1,I,3,1.583
MA,1,Pb,1,I,3,1.588
MA,1,Pb,1,I,3,1.594
(C6H4NH2),1,Cu,1,Br; I,2; 1,1.63
MA,1,Pb,1,Br,3,2.38
Cs,1,Pb,1,Br,3,2.25
MA,1,Pb,1,Br; I,0.3; 2.7,1.62
Ag,1,Bi,1,I,4,2.37
Ag,2,Bi,1,I,5,2.22
FA; MA,0.75; 0.25,Sn,1,I,3,1.4
FA; MA,0.75; 0.25,Ge; Sn,0.05; 0.95,I,3,1.4
FA; MA,0.75; 0.25,Ge; Sn,0.1; 0.9,I,3,1.42
FA; MA,0.75; 0.25,Ge; Sn,0.2; 0.8,I,3,1.53
MA,1,Pb,1,I,3,2.8
(DAT); MA,1; 2,Pb,3,I,10,1.87
Cs; FA; MA | (PEI),0.05; 0.79; 0.16 | 2,Pb | Pb,1 | 1,Br; I | I,0.51; 2.49 | 4,1.6
MA,1,Sn,1,I,3,1.34
MA,1,Sn,1,Br; I,0.42; 2.58,1.4
MA,1,Sn,1,Br; I,1; 2,1.46
MA,1,Sn,1,Br; I,1.5; 1.5,1.57
MA,1,Sn,1,Br; I,2; 1,1.75
MA,1,Sn,1,Br; I,2.64; 0.36,1.83
MA,1,Sn,1,Br,3,2.08
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.48; 2.52,1.61
Cs; FA; MA,0.1; 0.75; 0.24,Pb,1,Br; I,0.51; 2.49,1.61
FA; MA,0.3; 0.7,Pb,1,Br; I,0.3; 2.7,1.59
MA,1,Pb,1,Br; I,0.05; 2.95,1.57
MA,1,Pb,1,Br; I,0.08; 2.92,1.6
FA; MA,0.7; 0.3,Pb,1,I,3,1.6
Cs; Li,0.98; 0.02,Pb,1,Br,3,2.29
Cs; Li,0.96; 0.04,Pb,1,Br,3,2.27
Cs; Li,0.94; 0.06,Pb,1,Br,3,2.25
Cs; Li,0.92; 0.08,Pb,1,Br,3,2.24
Cs; Na,0.97; 0.03,Pb,1,Br,3,2.29
Cs; Na,0.94; 0.06,Pb,1,Br,3,2.27
Cs; Na,0.91; 0.09,Pb,1,Br,3,2.25
Cs; Na,0.88; 0.12,Pb,1,Br,3,2.24
Cs; K,0.96; 0.04,Pb,1,Br,3,2.29
Cs; K,0.92; 0.08,Pb,1,Br,3,2.27
Cs; K,0.88; 0.12,Pb,1,Br,3,2.25
Cs; K,0.84; 0.16,Pb,1,Br,3,2.24
Cs; K,0.80; 0.20,Pb,1,Br,3,2.29
Cs; Rb,0.97; 0.03,Pb,1,Br,3,2.27
Cs; Rb,0.94; 0.06,Pb,1,Br,3,2.25
Cs; Rb,0.91; 0.09,Pb,1,Br,3,2.24
Cs; Rb,0.88; 0.12,Pb,1,Br,3,2.24
Cs; Rb,0.85; 0.15,Pb,1,Br,3,2.24
FA; MA,0.83; 0.17,Pb,1,Br; I,1.2; 1.8,1.72
Cs; FA,0.15; 0.85,Pb,1,Br; I,0.81; 2.19,1.72
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.6; 2.4,1.72
FA; MA,0.83; 0.17,Pb,1,Br; I,0.46; 2.54,1.57
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.65
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.56
FA; MA,0.67; 0.33,Pb,1,Br; I,0.5; 2.5,1.638
FA; MA,0.83; 0.17,Pb,1,Br; I,1.5; 1.5,1.84
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,1.5; 1.5,1.85
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.51; 2.49,1.64
MA,1,Pb,1,Br; I,0.18; 2.82,1.604
MA,1,Pb,1,Br; I,0.39; 2.61,1.641
MA,1,Pb,1,Br; I,0.6; 2.4,1.674
MA,1,Pb,1,Br; I,0.87; 2.13,1.72
MA,1,Pb,1,Br; I,1.14; 1.86,1.777
MA,1,Pb,1,Br; I,1.41; 1.59,1.791
MA,1,Pb,1,Br; I,1.74; 1.26,1.924
MA,1,Pb,1,Br; I,2.13; 0.87,2.033
MA,1,Pb,1,Br; I,2.52; 0.48,2.154
MA,1,Pb,1,Br,3,2.277
FA; MA,0.83; 0.17,Pb,1,Br; I,0.51; 2.49,1.65
Cs; FA; MA,0.10; 0.75; 0.15,Pb,1,Br; I,0.51; 2.49,1.63
Cs; FA; MA,0.13; 0.72; 0.16,Pb,1,Br; I,0.51; 2.49,1.63
FA; MA,0.75; 0.25,Pb,1,Br; I,0.51; 2.49,1.65
Cs; FA; MA,0.1; 0.75; 0.15,Pb,1,Br; I,0.51; 2.49,1.63
Cs; FA; MA,0.5; 0.75; 0.1,Pb,1,Br; I,0.51; 2.49,1.63
Cs; FA; MA,0.2; 0.75; 0.05,Pb,1,Br; I,0.51; 2.49,1.63
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.51; 2.49,1.63
Cs; FA; MA,0.05; 0.83; 0.12,Pb,1,Br; I,0.51; 2.49,1.63
Cs; FA; MA,0.10; 0.83; 0.07,Pb,1,Br; I,0.51; 2.49,1.63
Cs; FA; MA,0.14; 0.83; 0.03,Pb,1,Br; I,0.51; 2.49,1.63
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.51; 2.49,1.63
FA; MA,0.83; 0.17,Pb,1,Br; I,0.51; 2.49,1.63
FA,1,Pb,1,Br; I,0.6; 2.4,1.57
FA,1,Pb,1,Br,1,2.23
FA,1,Pb,1,I,3,1.498
FA,1,Pb; Sn,0.875; 0.125,I,3,1.33
FA,1,Pb; Sn,0.75; 0.25,I,3,1.37
FA,1,Pb; Sn,0.625; 0.375,I,3,1.24
FA,1,Pb; Sn,0.5; 0.5,I,1,1.22
FA,1,Pb; Sn,0.375; 0.625,I,3,1.21
FA,1,Pb; Sn,0.25; 0.75,I,3,1.21
FA,1,Pb; Sn,0.125; 0.875,I,3,1.25
FA,1,Sn,1,I,3,1.3
FA,1,Pb; Sn,0.5; 0.5,I,3,1.22
Cs; FA,0.25; 0.75,Pb; Sn,0.5; 0.5,I,3,1.24
Cs; FA,0.17; 0.83,Pb,1,Br; I,1.5; 1.5,1.8
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.51; 2.49,1.6
MA,1,Pb,1,I,3,1.612
MA,1,Pb; Sn,0.8; 0.2,I,3,1.5
MA,1,Pb; Sn,0.6; 0.4,I,3,1.39
MA,1,Pb; Sn,0.4; 0.6,I,3,1.27
MA,1,Pb; Sn,0.2; 0.8,I,3,1.189
MA,1,Pb; Sn,0.75; 0.25,Br; I,1.2; 1.8,1.59
MA,1,Pb; Sn,0.50; 0.50,Br; I,1.2; 1.8,1.48
MA,1,Pb; Sn,0.25; 0.75,Br; I,1.2; 1.8,1.34
MA,1,Sn,1,Br; I,1.2; 1.8,1.6
MA,1,Pb; Sn,0.75; 0.25,Br; I,0.3; 2.7,1.43
MA,1,Pb; Sn,0.75; 0.25,Br; I,0.6; 2.4,1.48
MA,1,Pb; Sn,0.75; 0.25,Br; I,0.9; 2.1,1.53
MA,1,Pb; Sn,0.75; 0.25,Br; I,1.5; 1.5,1.65
MA,1,Pb; Sn,0.75; 0.25,Br; I,1.8; 1.2,1.73
MA,1,Pb; Sn,0.75; 0.25,Br; I,2.1; 0.9,1.8
MA,1,Pb; Sn,0.75; 0.25,Br; I,2.4; 0.6,1.9
MA,1,Pb; Sn,0.75; 0.25,Br; I,2.7; 0.3,1.99
MA,1,Pb; Sn,0.75; 0.25,Br,3,2.03
Cs; FA,0.15; 0.85,Pb,1,Br; I,2.1; 0.9,2.0
MA,1,Sn,1,I,3,1.3
MA,1,Sn,1,Br; I,1; 2,1.56
MA,1,Sn,1,Br,3,2.15
MA,1,Pb; Sn,0.7; 0.3,I,3,1.2
MA,1,Pb; Sn,0.5; 0.5,I,3,1.18
MA,1,Pb; Sn,0.3; 0.7,I,3,1.17
MA,1,Pb; Sn,0.25; 0.75,I,3,1.17
MA,1,Pb; Sn,0.5; 0.5,I,3,1.17
MA,1,Pb; Sn,0.75; 0.25,I,1,1.24
MA,1,Pb; Sn,0.75; 0.25,I,3,1.3
MA,1,Pb; Sn,0.5; 0.5,I,3,1.22
MA,1,Pb; Sn,0.75; 0.25,I,3,1.38
MA,1,Pb; Sn,0.5; 0.5,I,3,1.3
MA,1,Pb; Sn,0.25; 0.75,I,3,1.25
Cs,1,Pb,1,Br,3,2.34
Cs,1,Pb,1,Br; I,2; 1,1.9
Cs,1,Pb; Sn,0.9; 0.1,Br; I,2; 1,1.79
MA,1,Pb; Sn,0.7; 0.3,I,3,1.37
MA,1,Pb; Sn,0.38; 0.62,I,3,1.22
MA,1,Pb; Sn,0.2; 0.8,I,3,1.22
MA,1,Sn,1,I,3,1.28
MA,1,Pb; Sn,0; 0.19,I,3,1.31
MA,1,Pb; Sn,0.9; 0.1,I,3,1.31
MA,1,Pb; Sn,0.7; 0.255,I,3,1.24
MA,1,Pb; Sn,0.5; 0.5,I,3,1.28
MA,0.75,Sn,0.25,I,3,1.38
MA,1,Pb; Sn,0.25; 0.75,I,3,1.27
MA,1,Sn,1,I,3,1.37
FA; MA,0.25; 0.75,Pb; Sn,0.75; 0.25,I,3,1.34
FA; MA,0.5; 0.5,Pb; Sn,0.75; 0.25,I,3,1.33
FA; MA,0.75; 0.25,Pb; Sn,0.75; 0.25,I,3,1.33
FA,1,Pb; Sn,0.75; 0.25,I,3,1.31
MA,1,Pb; Sn,0.5; 0.5,I,3,1.23
MA,1,Pb; Sn,0.875; 0.125,I,3,1.42
MA,1,Pb; Sn,0.75; 0.25,I,3,1.31
MA,1,Pb; Sn,0.625; 0.375,I,3,1.25
MA,1,Pb; Sn,0.375; 0.625,I,3,1.2
MA,1,Pb; Sn,0.25; 0.75,I,3,1.18
MA,1,Pb; Sn,0.125; 0.875,I,3,1.18
MA,1,Sn,1,I,3,1.22
FA; MA,0.6; 0.4,Pb; Sn,0.6; 0.6,I,3,1.25
Cs; MA,0.1; 0.9,Pb; Sn,0.5; 0.5,I,3,1.3
Cs; MA,0.2; 0.8,Pb; Sn,0.5; 0.5,I,3,1.3
Cs; MA,0.3; 0.7,Pb; Sn,0.5; 0.5,I,3,1.28
FA,1,Pb; Sn,0.75; 0.25,I,3,1.39
FA,1,Pb; Sn,0.5; 0.5,I,3,1.28
FA,1,Pb; Sn,0.25; 0.75,I,3,1.26
FA,1,Sn,1,I,3,1.2
Cs; FA,0.2; 0.8,Pb; Sn,0.75; 0.25,I,3,1.35
Cs; FA,0.2; 0.8,Pb; Sn,0.5; 0.5,I,3,1.3
Cs; FA,0.2; 0.8,Pb; Sn,0.25; 0.75,I,3,1.2
Cs; FA,0.2; 0.8,Sn,1,I,3,1.2
Cs; MA,0.1; 0.9,Pb,1,I,3,1.6
Cs; MA,0.1; 0.9,Pb; Sn,0.7; 0.255,I,3,1.39
Cs; MA,0.1; 0.9,Pb; Sn,0.25; 0.75,I,3,1.28
Cs; MA,0.1; 0.9,Sn,1,I,3,1.2
MA,1,Pb; Sn,0.75; 0.25,I,3,1.26
MA,1,Pb; Sn,0.75; 0.25,I,3,1.29
MA,1,Pb; Sn,0.85; 0.15,I,3,1.37
MA,1,Pb; Sn,0.7; 0.255,I,3,1.26
MA,1,Pb; Sn,0.65; 0.35,I,3,1.25
FA,1,Pb; Sn,0.9; 0.1,I,3,1.43
FA,1,Pb; Sn,0.7; 0.3,I,3,1.33
FA,1,Pb; Sn,0.5; 0.5,I,3,1.3
FA,1,Pb; Sn,0.4; 0.6,I,3,1.29
FA,1,Pb; Sn,0.2; 0.8,I,3,1.29
FA,1,Sn,1,I,3,1.39
FA; MA,0.5; 0.5,Pb; Sn,0.5; 0.5,I,3,1.2
MA,1,Pb; Sn,0.4; 0.6,Br; I,1; 3,1.16
MA,1,Pb; Sn,0.4; 0.6,Br; I,0.6; 2.4,1.24
MA,1,Pb; Sn,0.4; 0.6,Br; I,0.9; 2.1,1.25
