Perovskite_composition_a_ions,Perovskite_composition_a_ions_coefficients,Perovskite_composition_b_ions,Perovskite_composition_b_ions_coefficients,Perovskite_composition_c_ions,Perovskite_composition_c_ions_coefficients,Perovskite_band_gap
BA; MA,2; 3,Pb,4,I,13,1.56
HA,2,Pb,1,I,4,2.37
HA; MA,2; 1,Pb,2,I,7,1.98
HA; MA,2; 2,Pb,3,I,10,1.96
HA; MA,2; 3,Pb,4,I,13,1.73
MA,1,Pb,1,I,3,1.604
MA,1,Pb,1,Br; I,0.6; 2.4,1.662
FA; MA,0.83; 0.17,Pb,1,Br; I,0.49; 2.51,1.6
MA,1,Pb,1,Br; I,1.25; 75,1.76
MA,1,Pb,1,I,3,1.66
MA,1,Pb,1,I,3,1.565
MA,1,Pb,1,Br; I,0.09; 2.91,1.579
MA,1,Pb,1,Br; I,0.11; 2.89,1.585
MA,1,Pb,1,Br; I,0.14; 2.86,1.591
MA,1,Pb,1,Br; I,0.2; 2.8,1.597
MA,1,Pb,1,Br; I,1; 2,1.725
FA,1,Pb,1,I,3,1.55
Cs; FA,0.25; 0.75,Pb,1,I,3,1.57
Cs; FA,0.5; 0.5,Pb,1,I,3,1.63
Cs; FA,0.75; 0.25,Pb,1,I,3,1.66
Cs; FA,0.05; 0.95,Pb,1,I,3,1.52
Cs; FA,0.30; 0.70,Pb,1,I,3,1.58
FA; MA,0.9; 0.1,Pb,1,I,3,1.54
MA,1,Pb,1,Br; I,0.33; 2.67,1.65
FA; MA,0.44; 0.56,Pb,1,Br; I,0.33; 2.67,1.62
MA,1,Pb,1,Br; I,2; 1,2.05
FA; MA,0.66; 0.34,Pb,1,I,3,1.533
FA,1,Pb,1,I,3,1.64
HA,1,Pb,1,I,4,2.2
Cs,1,Pb,1,I,3,1.5
Cs; FA; MA,0.07; 0.73; 0.20,Pb,1,Br; I,0.47; 2.53,1.6
Cs; FA; MA,0.1; 0.74; 0.1530,Pb,1,Br; I,0.51; 2.49,1.61
Cs,1,Pb,1,Br; I,2; 1,1.88
FA; MA,0.3; 0.7,Pb,1,I,3,1.6
Cs; FA; MA,0.16; 0.8; 0.04,Pb,1,Br; I,1.5; 1.5,1.82
Cs; FA,0.2; 0.8,Pb,1,Br; I,1.5; 1.5,1.82
Cs; FA; MA,0.16; 0.8; 0.04,Pb,1,Br; I,1.71; 1.29,1.89
Cs; FA; MA,0.16; 0.8; 0.04,Pb,1,Br; I,1.83; 1.17,1.91
AN; MA,0.2; 0.8,Pb,1,I,3,1.58
AN; FA; MA,0.15; 0.5; 0.8,Pb,1,I,3,1.58
AN; Cs; MA,0.15; 0.5; 0.8,Pb,1,I,3,1.58
AN; MA,0.1; 0.9,Pb,1,I,3,1.58
AN; MA,0.3; 0.7,Pb,1,I,3,1.58
AN; MA,0.4; 0.6,Pb,1,I,3,1.58
(CIEA); MA,0.03; 0.97,Pb,1,I,3,1.6
(CIEA); MA,0.05; 0.95,Pb,1,I,3,1.61
(CIEA); MA,0.1; 0.9,Pb,1,I,3,1.62
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.51
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.48; 2.52,1.58
FA; MA,0.95; 0.05,Pb,1,Br; I,0.15; 2.85,1.53
Cs; FA; MA,0.15; 0.65; 0.20,Pb,1,Br; I,0.6; 2.4,1.68
Cs; FA; MA,0.05; 0.7885; 0.1615,Pb,1,Br; I,0.4845; 2.51555,1.6
Cs; FA; MA,0.07; 0.79; 0.14,Pb,1,Br; I,0.45; 2.55,1.6
Cs; FA; MA,0.05; 0.8075; 0.1425,Pb,1,Br; I,0.45; 2.55,1.617
Cs; FA; MA,0.05; 0.8075; 0.1425,Pb,1,Br; I,0.45; 2.55,1.626
Cs; FA; MA,0.05; 0.8075; 0.1425,Pb,1,Br; I,0.45; 2.55,1.638
Cs; FA; MA,0.05; 0.8075; 0.1425,Pb,1,Br; I,0.45; 2.55,1.621
Cs; FA; MA,0.05; 0.8075; 0.1425,Pb,1,Br; I,0.45; 2.55,1.62
Cs; FA; MA,0.05; 0.8075; 0.1425,Pb,1,Br; I,0.45; 2.55,1.64
Cs; FA; MA,0.05; 0.8; 0.15,Pb,1,Br; I,0.45; 2.55,1.6
Cs; FA; MA,0.05; 0.49; 0.16,Pb,1,Br; I,0.51; 2.49,1.73
MA,0.98,Pb,1,I,3,1.59
FA; MA,0.25; 0.75,Sn,1,I,3,1.36
FA; MA,0.5; 0.5,Sn,1,I,3,1.38
FA,0.75,Sn,0.25,I,3,1.4
FA,1,Sn,1,I,3,1.43
Cs; FA; MA,0.1; 0.747; 0.153,Pb,1,Br; I,0.51; 2.49,1.73
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.81; 2.19,1.7
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.60; 2.40,1.7
Cs,1,Sn,1,I,3,1.25
Cs,1,Sn,1,Br,3,1.79
Cs; FA; MA,0.05; 0.7885; 0.1441,Pb,1,Br; I,0.3; 2.7,1.55
Cs; FA; MA,0.05; 0.70; 0.25,Pb,1,I,3,1.51
Cs; FA,0.2; 0.8,Pb,1,Br; I,1.2; 1.8,1.82
MA | BA; MA,1 | 2; 2,Pb | Pb,1 | 3,I | I,3 | 310,1.52
MA | BA; MA,1 | 2; 2,Pb | Pb,1 | 3,I | I,3 | 310,1.54
MA | BA; MA,1 | 2; 2,Pb | Pb,1 | 3,I | I,3 | 310,1.55
MA | BA; MA,1 | 2; 2,Pb | Pb,1 | 3,I | I,3 | 310,1.57
MA | BA; MA,1 | 2; 2,Pb | Pb,1 | 3,I | I,3 | 310,1.58
FA; MA,0.85; 0.15,Pb,1,Br; I,0.6; 2.4,1.616
(6-ACA); MA,0.038; 0.962,Pb,1,I,3,1.59
MA,1,Pb; Sn,0.85; 0.15,I,3,1.28
FA; MA,0.95; 0.05,Pb,1,Br; I,0.15; 2.85,1.51
FA; MA,0.83; 0.17,Pb,1,Br; I,0.51; 2.49,1.645
(PDA); MA,1,Pb,1,I,4,2.46
(PDA); MA,1; 1,Pb,2,I,7,1.77
(PDA); MA,1; 2,Pb,3,I,10,1.69
(PDA); MA,1; 3,Pb,4,I,13,1.63
MA; PA,3; 2,Pb,4,I,13,1.63
(PEA); MA,2; 3,Pb,4,I,13,1.65
(PEA); MA,2; 3,Pb,4,I,13,1.64
(PEA); MA,2; 3,Pb,4,I,13,1.63
Cs,1,Pb,1,Br; I,1; 2,1.901
Cs,1,Ge; Pb,0.1; 0.9,Br; I,1; 2,1.895
Cs,1,Ge; Pb,0.2; 0.8,Br; I,1; 2,1.889
Cs,1,Ge; Pb,0.3; 0.7,Br; I,1; 2,1.881
BA; MA,0.5; 0.75,Pb,1,I,3.25,1.88
BA; MA,0.5; 0.75,Pb,1,I,3.25,1.81
(iso-BA); MA,0.5; 0.75,Pb,1,I,3.25,1.78
(iso-BA); MA,0.5; 0.75,Pb,1,I,3.25,1.74
GU; MA,1; 3,Pb,3,I,12,1.83
GU; MA,1; 3,Pb,3,I,12,1.75
GU; MA,1; 3,Pb,3,I,12,1.61
MA,1,Sn,1,Br; I,2; 1,1.77
MA,2,Pb,1,(SCN); I,2; 2,2.1
MA,1,Pb,1,Br; I,0.9; 2.1,1.7
MA,1,Pb,1,Br; I,0.6; 2.4,1.67
FA; MA,0.85; 0.15,Pb,1,Br; I,0.5; 2.5,1.61
FA; MA,0.85; 0.15,Pb,1,Br; I,0.5; 2.5,1.627
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.31; 2.7,1.59
FA; MA,0.1; 0.9,Pb,1,I,3,1.58
BA; MA,0.67; 0.67,Pb,1,I,3.33,1.81
BA; GA; MA,0.52; 0.15; 0.67,Pb,1,I,3.33,1.81
FA; MA,0.15; 0.85,Pb,1,I,3,1.63
FA; MA,0.9; 0.1,Pb,1,Br; I,0.3; 2.7,1.5
Cs,1,Pb,1,I,3,1.67
MA,1,Pb,1,Br; I,1.7; 1.3,1.94
Cs,1,Pb,1,Br; I,1; 2,1.95
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.62
GU,1,Pb,1,(SCN); I,3,1.43
(IEA); MA,2; 2,Pb,2,I,7,2.02
(IEA); MA,2; 2,Pb,2,I,7,1.99
(IEA); MA,2; 2,Pb,2,I,7,1.98
(IEA); MA,2; 2,Pb,2,I,7,1.63
(IEA); MA,2; 2,Pb,2,I,7,1.62
FA; MA,0.976; 0.024,Pb,1,Br; I,0.075; 2.925,1.54
MA,1,Pb,1,Br; I,0.81; 2.19,1.71
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.84
MA,1,Pb,1,Br; I,1; 2,1.71
MA,1,Pb,1,Br; I,2; 1,1.94
MA,1,Pb,1,Br,3,2.22
Cs; FA; MA,0.05; 0.7885; 0.1615,Pb,1,Br; I,0.51; 2.49,1.55
MA,1,Cu; Pb,0.05; 0.95,Br; I,0.1; 2.9,1.6
Cs; FA; MA,0.05; 0.7885; 0.1615,Pb,1,Br; I,0.51; 2.49,1.6
Cs,1,Pb; Zn,0.9; 0.1,Br; I,2; 1,1.88
Cs; FA,0.15; 0.85,Pb,1,I,3,1.52
FA; MA,0.84; 0.16,Pb,1,Br; I,0.4; 2.6,1.53
Cs; FA; MA,0.07; 0.79; 0.14,Pb,1,Br; I,0.45; 2.55,1.5
PA,1; 1,Pb,1,I,3,2.32
MA; PA,0.5; 0.5,Pb,1,I,3,1.55
EA; MA,2; 19,Pb,20,I,61,1.58
EA; MA,2; 9,Pb,10,I,31,1.59
EA; MA,2; 5,Pb,6,I,19,1.61
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.4; 2.6,1.61
Cs; FA; MA,0.05; 0.7885; 0.1615,Pb,1,Br; I,0.51; 2.49,1.61
Cs; FA; MA,0.08; 0.78; 0.14,Pb,1,Br; I,0.42; 2.58,1.61
Cs; FA; MA,0.05; 0.8075; 0.1425,Pb,1,Br; I,0.45; 2.55,1.6
FA; MA,0.83; 0.17,Pb,1,Br; I,0.47; 2.53,1.61
FA; MA,0.87; 0.13,Pb,1,I,3,1.5
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.47
La,1,Y,1,S,3,2.0
MA,1,Pb,1,Br; I,0.1; 2.9,1.575
MA,1,Pb,1,Br; I,0.3; 2.7,1.595
MA,1,Pb,1,Br; I,0.5; 2.5,1.66
Cs,3,Bi,2,I,9,2.03
MA,1,Pb,1,I,3,1.569
FA; MA,0.92; 0.08,Pb,1,I,3,1.55
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.75; 2.25,1.68
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.75; 2.25,1.75
FA; MA,0.8; 0.2,Pb,1,I,3,1.35
Ag; Cs,1; 2,Bi,1,Br,6,2.21
MA,1,Pb,1,Br; I,0.5; 2.5,1.62
MA,1,Pb,1,I,3,1.672
MA,1,Pb,1,I,3,1.688
Cs | Cs,1 | 1,Pb | Pb,1 | 2,Br | Br,3 | 5,2.4
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.45; 2.55,1.58
Cs; FA,0.15; 0.85,Pb,1,Br; I,0.9; 2.1,1.72
Cs; FA,0.5; 0.5,Pb,1,I,3,1.64
Cs; FA,0.75; 0.25,Pb,1,I,3,1.71
Cs; FA,1; 1,Pb,1,Br; I,0.2; 2.8,1.53
Cs; FA,1; 1,Pb,1,Br; I,0.2; 2.8,1.65
Cs; FA,1; 1,Pb,1,Br; I,0.2; 2.8,1.72
Cs; FA,1; 1,Pb,1,Br; I,0.2; 2.8,1.73
Cs; FA,1; 1,Pb,1,I,3,1.51
Cs; FA,1; 1,Pb,1,Br; I,1; 1,1.62
Cs; FA,1; 1,Pb,1,Br; I,1; 1,1.69
Cs; FA,1; 1,Pb,1,Br; Cl; I,1; 1; 1,1.7
Cs; FA,1; 1,Pb,1,Br; Cl; I,1; 1; 1,1.75
Cs; FA,1; 1,Pb,1,Br; Cl; I,1; 1; 1,1.72
Cs; FA,1; 1,Pb,1,Br; Cl; I,1; 1; 1,1.77
Cs; FA,1; 1,Pb,1,Br; Cl; I,1; 1; 1,1.8
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.63
MA,2,Pb,1,I,4,1.56
BA,2,Pb,1,I,4,2.35
Ba; K,0.1; 0.9,Nb; Ni,0.95; 0.05,O,3,1.45
MA,1,Pb,1,Br,3,2.28
MA,1,Pb,1,I,3,1.595
Rb,3,Sb,2,I,9,2.24
MA,1,Pb,1,I,3,1.564
MA,1,Pb,1,I,3,1.486
MA,1,Pb,1,I,3,1.481
Cs,1,Pb,1,Br; I,1; 2,1.97
Cs; FA; MA,0.05; 0.76; 0.16,Pb,1,Br; I,0.49; 2.51,1.6
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.5
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55,1.73
K; BA,1; 1,Bi; Te,1; 1,O,6,1.94
Cs; FA; MA,0.79; 0.16; 0.1,Pb,1,Br; I,1; 2,1.73
Cs; FA; GU,0.32; 0.58; 0.1,Pb,1,Br; I,0.81; 2.19,1.75
EA; MA,0.1; 0.9,Pb,1,I,3,1.59
EA; MA,0.2; 0.8,Pb,1,I,3,1.59
EA; MA,0.3; 0.7,Pb,1,I,3,1.59
EA; MA,0.4; 0.6,Pb,1,I,3,1.59
EA; MA,0.5; 0.5,Pb,1,I,3,1.59
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.51
MA,1,Pb,1,I,3,1.77
FA; MA | BA; FA,0.85; 0.15 | 0.5; 1.5,Pb | Pb,1 | 1,Br; I | I,0.45; 2.55 | 4,1.59
FA; MA | BA; FA,0.85; 0.15 | 1; 1,Pb | Pb,1 | 1,Br; I | I,0.45; 2.55 | 4,1.59
FA; MA | BA; FA,0.85; 0.15 | 1.5; 0.5,Pb | Pb,1 | 1,Br; I | I,0.45; 2.55 | 4,1.59
FA; MA | BA; FA,0.85; 0.15 | 2,Pb | Pb,1 | 1,Br; I | I,0.45; 2.55 | 4,1.57
Cs; FA,0.1; 0.9,Pb,1,I,3,1.48
MA | Cs,1 | 1,Pb | Pb,1 | 1,I | Br,3 | 3,1.6
MA | Cs,1 | 1,Pb | Pb,1 | 1,I | I,3 | 3,1.6
FA; MA,0.8; 0.2,Pb,1,I,3,1.535
FA | (ODA),1 | 2,Pb | Pb,1 | 1,I | I,3 | 4,1.48
Cs; FA,0.1; 0.9,Pb,1,Br; I,0.9; 2.1,1.678
Cs; FA,0.15; 0.85,Pb,1,Br; I,0.9; 2.1,1.698
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.9; 2.1,1.714
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.9; 2.1,1.729
Cs; FA; MA,0.1; 0.79; 0.16,Pb,1,Br; I,1; 2,1.72
FA; MA,0.66; 0.34,Pb; Sn,0.25; 0.75,I,3,1.26
Cs; FA; MA,0.05; 0.76; 0.19,Pb,1,Br; I,0.3; 2.7,1.6
Cs; FA; MA,0.05; 0.76; 0.19,Pb,1,Br; I,0.6; 2.4,1.67
Cs; FA; MA,0.05; 0.76; 0.19,Pb,1,Br; I,0.9; 2.1,1.73
Cs; FA; MA,0.15; 0.68; 0.17,Pb,1,Br; I,0.51; 2.49,1.65
Cs; FA; MA,0.15; 0.68; 0.17,Pb,1,Br; I,0.72; 2.28,1.71
Cs; FA; MA,0.25; 0.6; 0.15,Pb,1,Br; I,0.3; 2.7,1.64
Cs; FA; MA,0.25; 0.6; 0.15,Pb,1,Br; I,0.6; 2.4,1.7
Cs; FA; MA,0.25; 0.6; 0.15,Pb,1,Br; I,0.9; 2.1,1.76
MA | MA,1 | 1,Pb | Ba; Pb,1 | 1; 1,I | I,3 | 3,1.53
(PEI); MA,2; 6,Pb,7,I,22,1.7
(PEI); MA,2; 4,Pb,5,I,16,1.8
Cs; FA; MA,0.15; 0.55; 0.3,Pb,1,Br; I,0.6; 2.4,1.68
(PEI); MA,2; 2,Pb,2,I,10,1.95
(PEI); MA,2; 6,Pb,7,I,22,1.7
(PEI); MA,2; 4,Pb,5,I,16,1.8
Cs; FA; MA,0.05; 0.76; 0.19,Pb,1,Br; I,0.6; 2.4,1.67
MA,1,Pb,1,I,3,1.65
(PEI); MA,2; 2,Pb,2,I,10,1.95
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.6; 2.4,1.67
MA,1,Pb,1,I,3,1.55
Cs; FA; MA,0.15; 0.71; 0.14,Pb,1,Br; I,0.9; 2.1,1.7
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.63
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.45; 2.55,1.6
MA,1,Pb,1,I,3,1.6
FA; MA,0.66; 0.34,Sn,1,I,3,1.45
Cs; FA,0.15; 0.85,Pb,1,Br; I,0.87; 2.13,1.72
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.4; 0.6,1.74
FA; MA,0.66; 0.34,Pb; Sn,0.5; 0.5,I,3,1.26
MA,1,Pb,1,I,3,1.5
Cs; FA,0.2; 0.8,Pb,1,Br; Cl; I,0.45; 0.09; 2.46,1.66
MA,1,Pb; Sb,0.98; 0.02,I,3,1.5
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.3; 0.7,1.74
MA | (EU-pyP),1 | 2,Pb | Pb,1 | 1,I | I,3 | 4,1.6
Cs; FA; MA,0.1; 0.2; 0.7,Pb,1,Br; I,0.15; 0.85,1.65
Cs; FA; MA,0.1; 0.2; 0.7,Pb,1,Br; I,0.2; 0.8,1.69
Cs; FA; MA,0.1; 0.2; 0.7,Pb,1,Br; I,0.1; 0.9,1.63
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.4; 0.6,1.78
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.6; 0.4,1.93
Cs; FA,0.2; 0.8,Pb,1,Br,1,2.28
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.8; 0.2,2.08
Cs; FA,0.2; 0.8,Pb,1,I,1,1.57
Cs,1,Sn,1,I,1,1.27
FA; MA,0.66; 0.34,Pb; Sn,0.5; 0.5,I,1,1.23
(PEA); MA,2; 1,Pb,1,I,4,1.6
(PEA); MA,2; 1,Pb,1,I,4,1.57
FA,1,Pb,1,I,3,1.48
(4ApyH),1,Bi; Sb,0.2; 0.8,I,4,2.12
(4ApyH),1,Sb,1,I,4,2.2
FA; MA,0.7; 0.3,Pb; Sn,0.5; 0.5,I,3,1.25
FA; MA,0.4; 0.6,Pb; Sn,0.4; 0.6,I,3,1.3
FA; MA,0.6; 0.4,Pb; Sn,0.6; 0.4,I,3,1.25
FA; MA,0.8; 0.2,Pb; Sn,0.8; 0.2,I,3,1.27
Cs,2,Pt,1,I,6,1.37
FA; MA,0.83; 0.17,Pb,1,Br; I,0.03; 2.97,1.6
MA,1,Pb,1,I,3,1.59
FA; MA,0.5; 0.5,Pb; Sn,0.5; 0.5,I,3,1.23
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.54
Cs,1,Pb,1,Br; I,1; 2,2.05
Cs,1,Pb,1,I,3,1.75
Cs,1,Pb,1,I,3,1.79
Cs,1,Pb,1,I,3,2.93
FA,1,Pb; Sn,0.5; 0.5,I,3,1.28
Cs,1,Pb,1,I,3,2.92
Cs; FA,0.22; 0.78,Pb,1,Br; I,0.15; 0.85,1.67
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.3; 0.7,1.68
Cs; FA,0.4; 0.6,Pb,1,Br; I,0.24; 0.75,1.8
FA; MA,0.9; 0.1,Pb,1,Br; I,0.03; 2.97,1.581
Cs; FA; MA,0.05; 0.85; 0.1,Pb,1,Br; I,0.03; 2.97,1.598
Cs; FA; MA,0.10; 0.81; 0.09,Pb,1,Br; I,0.03; 2.97,1.6
Cs; FA; MA,0.15; 0.76; 0.09,Pb,1,Br; I,0.03; 2.97,1.599
Cs; FA; MA,0.2; 0.72; 0.08,Pb,1,Br; I,0.03; 2.97,1.62
Cs; FA,0.22; 0.78,Pb,1,Br; I,0.45; 2.55,1.68
FA; MA,0.1; 0.96,Pb,1,Br; I,1; 2,1.72
Cs,1,Pb,1,Br; I,1; 2,1.8-2.3
Cs; FA,0.2; 0.8,Pb,1 | 1,Br; I,0.3; 2.7,1.83
FA,1,Pb,1,I,3,1.52
Cs; FA; MA,0.12; 0.5; 0.38,Pb,1,Br; I,0.96; 2.04,1.72
Cs,1,Pb,1,Br; I,0.33; 0.66,1.92
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.3; 0.7,1.73
Cs; MA,0.1; 0.9,Pb,1,Br; I,0.4; 0.6,1.82
Cs; FA,0.8; 0.2,Pb,1.0,Br; I,0.9; 2.1,1.73
Cs; FA,0.8; 0.2,Pb,1.0,Br; I,0.9; 2.1,1.74
MA,1,Pb,1.0,I,3,1.6
MA,1,Pb,1.0,Br; Cl,1.5; 1.5,2.65
MA,1,Pb,1.0,Cl,3,3.05
FA; MA,0.83; 0.17,Pb,1,Br; I,0.51; 2.49,1.64
FA; MA,0.83; 0.17,Pb,1,Br; I,0.33; 2.67,1.59
Cs; FA,0.35; 0.65,Pb,1.0,Br; I,0.27; 0.73,1.75
Cs; FA,0.39; 0.61,Pb,1.0,Br; I,0.3; 0.70,1.77
Cs,1,Pb,1,Br; I,1; 2,1.92
MA,1,Pb,1,I,3,1.599
MA,1,Pb,1,I,3,1.594
MA,1,Pb,1,I,3,1.591
Cs; FA; MA,0.08; 0.78; 0.14,Pb,1,Br; I,0.42; 2.38,1.61
FA; MA,0.7; 0.3,Pb; Sn,0.5; 0.5,I,3,1.26
MA,1,Pb; Sn,0.75; 0.25,I,3,1.3
MA,1,Pb,1,Br; I,0.25; 0.75,1.73
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.4; 0.6,1.73
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.3; 0.7,1.72
Cs; FA; MA; Rb,0.05; 0.83; 0.17; 0.05;,Pb,1,Br; I,0.17; 0.83,1.63
Cs; FA; MA; Rb,0.05; 0.75; 0.25; 0.05;,Pb,1,Br; I,0.25; 0.75,1.68
